epoch	train_loss	train_acc	test_loss	test_acc	width	lr	nonlin	criterion	parametrization
9	1.560606	0.481360	1.846684	0.411200	2048	0.062500	relu	xent	sp
10	1.539243	0.492740	1.930290	0.408900	2048	0.062500	relu	xent	sp
11	1.528277	0.496660	1.962977	0.406100	2048	0.062500	relu	xent	sp
12	1.509263	0.507500	1.934455	0.419400	2048	0.062500	relu	xent	sp
13	1.502313	0.512680	2.082706	0.380600	2048	0.062500	relu	xent	sp
14	1.488576	0.516360	2.002034	0.405600	2048	0.062500	relu	xent	sp
15	1.462434	0.526640	2.168885	0.402100	2048	0.062500	relu	xent	sp
16	1.445818	0.533680	2.091261	0.415200	2048	0.062500	relu	xent	sp
17	1.447719	0.533880	2.166054	0.410100	2048	0.062500	relu	xent	sp
18	1.422158	0.545900	2.121536	0.410500	2048	0.062500	relu	xent	sp
19	1.434620	0.540040	2.227924	0.389900	2048	0.062500	relu	xent	sp
20	1.433495	0.543200	2.298618	0.387100	2048	0.062500	relu	xent	sp
1	2.121401	0.255300	2.076152	0.238000	256	0.125000	relu	xent	sp
2	2.160286	0.231600	2.164499	0.211200	256	0.125000	relu	xent	sp
3	2.177153	0.215840	2.181709	0.239100	256	0.125000	relu	xent	sp
4	2.204728	0.197780	2.195609	0.219100	256	0.125000	relu	xent	sp
5	2.177306	0.206480	2.286788	0.193200	256	0.125000	relu	xent	sp
6	2.198521	0.199260	2.241174	0.182400	256	0.125000	relu	xent	sp
7	2.201072	0.182400	2.229802	0.177600	256	0.125000	relu	xent	sp
8	2.208937	0.177800	2.240326	0.168300	256	0.125000	relu	xent	sp
9	2.212549	0.178440	2.209247	0.173500	256	0.125000	relu	xent	sp
10	2.222697	0.173740	2.198100	0.167300	256	0.125000	relu	xent	sp
11	2.194577	0.182360	2.195815	0.193200	256	0.125000	relu	xent	sp
12	2.192875	0.187340	2.198710	0.212600	256	0.125000	relu	xent	sp
13	2.178860	0.193400	2.226173	0.162400	256	0.125000	relu	xent	sp
14	2.224954	0.168980	2.191693	0.182300	256	0.125000	relu	xent	sp
15	2.177959	0.191920	2.161066	0.220800	256	0.125000	relu	xent	sp
16	2.179018	0.194040	2.206781	0.190700	256	0.125000	relu	xent	sp
17	2.200010	0.184460	2.218508	0.176200	256	0.125000	relu	xent	sp
18	2.174998	0.194500	2.145976	0.208300	256	0.125000	relu	xent	sp
19	2.191608	0.185820	2.206996	0.193000	256	0.125000	relu	xent	sp
20	2.169394	0.197160	2.170457	0.170100	256	0.125000	relu	xent	sp
1	2.053586	0.288120	2.109643	0.282800	2048	0.125000	relu	xent	sp
2	2.067709	0.293240	2.121171	0.307400	2048	0.125000	relu	xent	sp
3	2.097569	0.283400	2.151012	0.284200	2048	0.125000	relu	xent	sp
4	2.110647	0.270720	2.192589	0.246300	2048	0.125000	relu	xent	sp
5	2.132605	0.262580	2.385285	0.230200	2048	0.125000	relu	xent	sp
6	2.141719	0.258760	2.242011	0.250100	2048	0.125000	relu	xent	sp
7	2.156539	0.240880	2.193434	0.253400	2048	0.125000	relu	xent	sp
8	2.164612	0.240800	2.229294	0.213400	2048	0.125000	relu	xent	sp
9	2.231812	0.187620	2.292389	0.136100	2048	0.125000	relu	xent	sp
10	2.236728	0.175320	2.247710	0.201600	2048	0.125000	relu	xent	sp
11	2.224468	0.187820	2.268432	0.178000	2048	0.125000	relu	xent	sp
12	2.211325	0.189320	2.296659	0.150400	2048	0.125000	relu	xent	sp
13	2.218758	0.187100	2.260750	0.161800	2048	0.125000	relu	xent	sp
14	2.211333	0.191920	2.229465	0.191500	2048	0.125000	relu	xent	sp
15	2.202130	0.198140	2.251803	0.169200	2048	0.125000	relu	xent	sp
16	2.224278	0.187340	2.259415	0.160500	2048	0.125000	relu	xent	sp
17	2.214239	0.190000	2.258394	0.169100	2048	0.125000	relu	xent	sp
18	2.254051	0.168200	2.321644	0.153800	2048	0.125000	relu	xent	sp
